AIRLINE_CODE,ORIGIN_CODE,Month_of_Travel,Predicted_Delay_Time,Cancellation_Probability
9E,FNT,9,0.0,0.0
9E,FNT,10,0.0,0.0
9E,FNT,11,0.0,0.0
9E,FNT,12,0.0,0.0
9E,FSD,1,2.775908963585434,0.0
9E,FSD,2,0.0,0.0
9E,FSD,3,0.0,0.0
9E,FSD,4,0.29045238095238124,0.0
9E,FSD,5,20.654422537725605,0.0
9E,FSD,6,0.0,0.0
9E,FSD,7,8.77307955932956,0.0
9E,FSD,8,0.0,0.0
9E,FSD,9,6.294925045542692,0.0
9E,FSD,10,30.904601288374515,0.0
9E,FSD,11,0.0,0.0
9E,FSD,12,6.9705483405483415,0.0
9E,FSM,2,1.4733351795263565,0.0
9E,FSM,3,26.798714285714293,0.0
9E,FSM,5,1.0044976956995533,0.0
9E,FSM,6,5.958841991341993,0.0
9E,FWA,1,33.33174683649685,0.0
9E,FWA,2,0.0,0.0
9E,FWA,3,0.0,0.0
9E,FWA,4,0.31445634920634924,0.0
9E,FWA,5,0.4639217171717171,0.0
9E,FWA,6,4.2382997557997575,0.0
9E,FWA,7,0.0,0.0
9E,FWA,8,0.0,0.0
9E,FWA,9,0.0,0.0
9E,FWA,10,0.0,0.0
9E,FWA,11,0.0,0.0
9E,FWA,12,0.0,0.0
9E,GFK,1,0.0,0.0
9E,GFK,3,0.0,0.0
9E,GFK,4,0.0,0.0
9E,GFK,5,0.0,0.0
9E,GFK,6,0.0,0.0
9E,GFK,7,0.0,0.0
9E,GFK,8,0.0,0.0
9E,GFK,9,0.0,0.0
9E,GFK,10,0.0,0.0
9E,GNV,1,18.283278433984318,0.0
9E,GNV,2,49.302064414948944,0.0
9E,GNV,3,1.2736803751803751,0.0
9E,GNV,4,24.330301476301475,0.0
9E,GNV,5,0.0,0.0
9E,GNV,6,10.973420187956178,0.0
9E,GNV,7,30.868963203463196,0.0
9E,GNV,8,1.14587844753286,0.0
9E,GNV,9,0.0,0.0
9E,GNV,10,7.508232533931195,0.0
9E,GNV,11,43.50970245032745,0.0
9E,GNV,12,33.624266323545726,0.0
9E,GPT,1,9.774749375816745,0.0
9E,GPT,2,9.114373844121134,0.0
9E,GPT,3,9.331623096245,0.0
9E,GPT,4,24.435268652099527,0.0
9E,GPT,5,0.0,0.0
9E,GPT,6,2.253814549743343,0.0
9E,GPT,7,11.957866410550237,0.0
9E,GPT,8,0.0,0.0
9E,GPT,9,10.198984128616477,0.0
9E,GPT,10,5.934331529581528,0.0
9E,GPT,11,0.0,0.0
9E,GPT,12,0.0,0.0
9E,GRB,1,0.0,0.0
9E,GRB,2,0.0,0.0
9E,GRB,3,0.0,0.0
9E,GRB,4,5.895241452991454,0.0
9E,GRB,5,0.0,0.0
9E,GRB,6,5.481890970140972,0.0
9E,GRB,7,0.0,0.0
9E,GRB,8,0.0,0.0
9E,GRB,9,0.0,0.0
9E,GRB,10,0.0,0.0
9E,GRB,11,0.0,0.0
9E,GRB,12,0.0,0.0
9E,GRR,1,15.147101682459262,0.0
9E,GRR,2,0.0,0.0
9E,GRR,3,0.12093278539485967,0.0
9E,GRR,4,2.475250360750359,0.0
9E,GRR,5,0.0,0.0
9E,GRR,6,0.0,0.0
9E,GRR,7,0.0,0.0
9E,GRR,8,4.778657803883422,0.0
9E,GRR,9,9.623390886933837,0.0
9E,GRR,10,7.067828878462499,0.0
9E,GRR,11,0.0,0.0
9E,GRR,12,0.0,0.0
9E,GSO,1,8.19084416870374,0.0
9E,GSO,2,1.586437772698154,0.0
9E,GSO,3,11.664374729278286,0.0
9E,GSO,4,17.053475984799505,0.0
9E,GSO,5,0.8805674868609645,0.0
9E,GSO,6,3.491556441654395,0.0
9E,GSO,7,64.7465864535791,0.0
9E,GSO,8,0.0,0.0
